Unnamed: 0,Company,TypeName,Inches,Price
401,Asus,Gaming,17.3,81465.12
402,Lenovo,Notebook,25.6,60978.96
403,Acer,Notebook,15.6,46833.12
404,MSI,Gaming,17.3,119826.72
405,Asus,Ultrabook,14,99793.44
406,Toshiba,Ultrabook,13.3,93080.16
407,Dell,Ultrabook,14,89510.4
408,Lenovo,Notebook,35.6,21791.52
409,Lenovo,Notebook,11.6,16221.096
410,Lenovo,Workstation,15.6,102564
411,Lenovo,Ultrabook,14,103523.04
412,HP,Notebook,15.6,24988.32
413,Acer,2 in 1 Convertible,13.3,42038.4528
414,Asus,2 in 1 Convertible,13.3,49443.84
415,Dell,Notebook,15.6,31909.392
416,Dell,Notebook,13.3,36709.92
417,HP,Ultrabook,14,79920
418,Dell,Notebook,15.6,28768.536
419,Lenovo,Ultrabook,14,64755.4464
420,Lenovo,2 in 1 Convertible,15.6,101178.72
421,Chuwi,Notebook,12.3,23922.72
422,HP,Notebook,15.6,76030.56
423,Asus,Notebook,35.6,31808.16
424,Dell,Gaming,27.3,149130.72
425,Dell,Gaming,15.6,61751.52
426,Dell,Notebook,15.6,60867.072
427,Dell,Ultrabook,14,58554.72
428,HP,Gaming,17.3,106506.72
429,Mediacom,2 in 1 Convertible,11.6,15930.72
430,Samsung,Notebook,11.6,14332.32
431,Lenovo,Notebook,13.3,53812.8
432,Lenovo,Notebook,14,31914.72
433,Lenovo,Workstation,15.6,130269.6
434,Lenovo,Notebook,15.6,130482.72
435,Asus,Gaming,17.3,90309.6
436,HP,Notebook,15.6,18488.16
437,Google,Ultrabook,12.3,117162.72
438,Lenovo,Ultrabook,24,126912.96
439,Asus,Notebook,15.6,29783.52
440,Lenovo,Notebook,17.3,27652.32
441,Dell,Notebook,15.6,39906.72
442,Lenovo,Ultrabook,12.5,76137.12
443,Lenovo,Notebook,15.6,18594.72
444,HP,Gaming,15.6,58554.72
445,Dell,Notebook,14,62817.12
446,Acer,Notebook,15.6,23539.104
447,Dell,Workstation,15.6,106187.04
448,MSI,Gaming,15.6,54757.9872
449,Microsoft,Ultrabook,13.5,137941.92
450,HP,Notebook,15.6,31381.92
451,Dell,Workstation,15.6,105228
452,HP,Workstation,15.6,81731.52
453,Lenovo,Notebook,14,71661.6
454,Dell,Notebook,15.6,52161.12
455,Dell,2 in 1 Convertible,11.6,25521.12
456,Dell,Notebook,17.3,109010.88
457,Microsoft,Ultrabook,13.5,52693.92
458,Microsoft,Ultrabook,33.5,95850.72
459,HP,Notebook,17.3,34093.872
460,Acer,Notebook,15.6,28984.32
461,Acer,Notebook,11.6,23176.8
462,Asus,Notebook,15.6,39906.72
463,Lenovo,Notebook,14,42570.72
464,Lenovo,Notebook,15.6,111355.2
465,Asus,Notebook,15.6,16197.12
466,Acer,Notebook,15.6,24988.32
467,Dell,Notebook,15.6,40439.52
468,HP,Gaming,17.3,90522.72
469,Lenovo,Ultrabook,14,98994.24
470,HP,2 in 1 Convertible,13.3,106506.72
471,HP,Notebook,15.6,61485.12
472,Google,Ultrabook,12.3,67932
473,Dell,Ultrabook,13.3,98133.768
474,Asus,Notebook,15.6,69210.72
475,Dell,Notebook,14,39427.2
477,Lenovo,Notebook,14,72673.92
479,Toshiba,Notebook,13.3,89084.16
480,Dell,Notebook,15.6,67239.36
481,Dell,Notebook,15.6,31254.048
482,HP,Notebook,13.3,38681.28
483,Chuwi,Notebook,15.6,13261.392
484,Lenovo,Notebook,15.6,30103.2
485,Lenovo,Notebook,14,55890.72
486,Dell,Workstation,15.6,124568.64
487,Dell,Notebook,15.6,101178.72
488,Lenovo,Ultrabook,12.5,95797.44
489,Asus,Ultrabook,12.5,103896
490,Lenovo,Notebook,15.6,53918.8272
491,Toshiba,Ultrabook,13.3,149130.72
492,Asus,Gaming,15.6,71928
493,Acer,Notebook,15.6,30849.12
494,Asus,Gaming,17.3,67612.32
495,Lenovo,Ultrabook,12.5,58554.72
496,Lenovo,Notebook,15.6,47893.392
497,HP,Notebook,14,93186.72
498,Lenovo,Notebook,13.3,50562.72
499,Lenovo,Notebook,15.6,48538.08
500,Asus,Notebook,11.6,18115.2
501,HP,Notebook,15.6,32979.7872
502,Lenovo,2 in 1 Convertible,13.9,85194.72
503,Lenovo,Notebook,14,15930.72
504,Lenovo,Notebook,11.6,14119.2
505,Lenovo,Notebook,13.3,50562.72
506,Asus,Notebook,15.6,65214.72
507,Acer,Notebook,15.6,32660.64
508,HP,Ultrabook,13.3,70489.44
509,Lenovo,Gaming,15.6,61218.72
510,Dell,Ultrabook,13.3,47898.72
511,Acer,Notebook,15.6,34045.92
512,Dell,Notebook,15.6,44542.08
513,Dell,Notebook,15.6,64961.1072
514,Xiaomi,Notebook,15.6,74589.336
515,Asus,Notebook,11.6,13053.6
516,HP,Notebook,15.6,27783.9216
517,Asus,Gaming,15.6,158135.04
518,HP,Notebook,15.6,47365.92
519,Asus,Gaming,17.3,80133.12
520,Lenovo,Gaming,15.6,74538.72
521,HP,Ultrabook,13.3,74538.72
522,Dell,Notebook,14,68184.0144
523,HP,Notebook,15.6,36709.92
524,Dell,Notebook,17.3,47365.92
525,Lenovo,Notebook,24,71395.2
526,Lenovo,Notebook,15.6,42570.72
527,Lenovo,Notebook,15.6,24455.52
528,Dell,Notebook,15.6,31168.8
529,Dell,Notebook,15.6,73366.56
530,Dell,Gaming,17.3,160520.3856
531,Toshiba,Notebook,15.6,45820.8
532,Asus,Notebook,15.6,69210.72
533,Mediacom,Notebook,13.3,19660.32
534,Asus,Gaming,15.6,87858.72
535,Dell,Notebook,15.6,72940.32
536,Dell,Notebook,15.6,42486.0048
537,HP,Notebook,15.6,21258.1872
538,HP,Gaming,17.3,95850.72
539,Lenovo,Notebook,14,45767.52
540,Dell,Ultrabook,13.3,74538.72
541,Dell,Notebook,14,39207.1536
542,HP,Ultrabook,13.3,61005.6
543,Acer,Gaming,15.6,42517.44
544,Asus,Notebook,15.6,18594.72
545,HP,Notebook,15.6,37589.04
546,Lenovo,Notebook,14,41824.8
547,Lenovo,Notebook,15.6,24634.008
548,HP,Notebook,15.6,21152.16
549,Lenovo,Notebook,15.6,92121.12
550,Lenovo,Notebook,15.6,26586.72
551,Dell,Notebook,15.6,59513.2272
552,Dell,Gaming,17.3,143802.72
553,HP,Notebook,17.3,28992.312
554,HP,Notebook,17.3,68198.4
555,Asus,Notebook,15.6,11934.72
556,Mediacom,Notebook,13.3,13586.4
557,Lenovo,Notebook,17.3,50562.72
558,HP,Notebook,15.6,30310.992
559,Dell,Notebook,15.6,32921.712
560,Acer,2 in 1 Convertible,11.6,18594.72
561,Lenovo,Notebook,15.6,33566.4
562,HP,Ultrabook,13.3,104695.2
563,Lenovo,Notebook,17.3,159786.72
564,Asus,Notebook,15.6,44701.92
565,Dell,Ultrabook,13.3,85194.72
566,Dell,Notebook,15.6,51095.52
568,Lenovo,Notebook,15.6,18328.32
569,Lenovo,Notebook,14,52747.2
570,HP,Workstation,17.3,99153.5472
571,HP,Notebook,14,20725.92
572,HP,Notebook,15.6,34578.72
573,Lenovo,Notebook,15.6,44222.4
574,Lenovo,Notebook,15.6,36496.8
575,Mediacom,Notebook,14,13266.72
576,Toshiba,Ultrabook,14,99367.2
577,Lenovo,Gaming,17.3,141884.64
578,MSI,Gaming,17.3,145401.12
579,Dell,Notebook,15.6,39907.2528
580,Mediacom,Notebook,14,20725.92
581,Dell,Notebook,15.6,53733.9456
582,HP,Notebook,13.3,38308.32
583,Dell,Notebook,15.6,81912.1392
584,Dell,Notebook,11.6,15717.6
585,MSI,Gaming,17.3,125154.72
586,HP,Gaming,17.3,79813.44
587,Lenovo,Ultrabook,14,89137.44
588,Lenovo,Notebook,15.6,32447.52
589,Asus,Gaming,17.3,94305.6
590,Asus,2 in 1 Convertible,15.6,39373.92
591,Lenovo,Notebook,15.6,50562.72
592,Dell,2 in 1 Convertible,31.6,32127.84
593,Samsung,Notebook,15.6,90522.72
594,Lenovo,Notebook,17.3,28185.12
595,Lenovo,Notebook,15.6,24455.52
596,Lenovo,2 in 1 Convertible,13.3,107892
597,Lenovo,Notebook,14,78534.72
598,Dell,2 in 1 Convertible,12.5,88977.6
599,Dell,Workstation,15.6,93932.64
600,HP,Notebook,15.6,64948.32
601,HP,Notebook,15.6,35616.6144
602,Acer,Notebook,14,17529.12
603,MSI,Gaming,17.3,117162.72
604,Dell,Notebook,15.6,24775.2
605,MSI,Gaming,15.6,122490.72
606,Toshiba,Notebook,15.6,74538.72
607,Lenovo,Notebook,15.6,30049.92
608,Lenovo,2 in 1 Convertible,15.6,69210.72
609,Acer,Notebook,14,18594.72
610,Lenovo,Notebook,15.6,261018.72
611,Dell,Gaming,15.6,46833.6528
612,Dell,Notebook,15.6,23650.992
613,Dell,Notebook,15.6,19127.52
614,Dell,Notebook,15.6,46300.32
615,Asus,Gaming,17.3,62231.04
617,HP,Ultrabook,15.6,74005.92
618,MSI,Gaming,15.6,120831.5808
619,Acer,2 in 1 Convertible,11.6,20193.12
620,HP,Notebook,14,59886.72
621,Lenovo,Notebook,14,78055.2
622,Dell,Notebook,15.6,41345.28
623,Fujitsu,Notebook,15.6,42570.72
624,HP,Notebook,15.6,49656.96
626,Mediacom,Notebook,14,12733.92
627,Lenovo,Notebook,15.6,24935.04
628,Asus,2 in 1 Convertible,13.3,34046.4528
630,Asus,Ultrabook,14,101232
631,Dell,Gaming,15.6,78801.12
632,Lenovo,Notebook,15.6,44169.12
633,Lenovo,Notebook,15.6,30849.12
634,Asus,Notebook,15.6,21258.72
635,Asus,Notebook,15.6,48304.7136
636,Dell,Ultrabook,13.3,99580.32
637,Lenovo,Notebook,14,13266.72
638,Lenovo,2 in 1 Convertible,13.3,93635.3376
639,Dell,Notebook,15.6,127818.72
640,Lenovo,Gaming,15.6,59087.52
641,HP,Notebook,17,27753.552
642,Lenovo,Ultrabook,14,130536
643,Asus,Gaming,15.6,62284.32
644,Acer,Notebook,15.6,23976
645,Lenovo,Notebook,14,14598.72
646,Acer,Ultrabook,14,48964.32
647,Razer,Gaming,14,138474.72
648,Toshiba,Notebook,13.3,64628.64
649,Lenovo,Ultrabook,12.5,84395.52
650,Asus,Gaming,17.3,149130.72
651,Acer,Gaming,15.6,37775.52
652,Dell,Ultrabook,13.3,77250.672
653,MSI,Gaming,15.6,63499.104
654,HP,Notebook,15.6,19441.872
655,Toshiba,Notebook,15.6,56689.92
656,Dell,Notebook,15.6,48964.32
657,Dell,Notebook,15.6,60472.8
658,Lenovo,Gaming,15.6,63722.88
659,Dell,Gaming,17.3,167691.8736
660,Dell,Notebook,14,65481.12
661,Lenovo,Notebook,15.6,22324.32
662,Lenovo,Notebook,15.6,28504.8
663,HP,Notebook,15.6,28717.92
664,MSI,Gaming,17.3,79215.1056
665,Toshiba,Notebook,15.6,26533.44
667,HP,Notebook,15.6,39693.6
668,Toshiba,Notebook,15.6,67026.24
669,Acer,Notebook,15.6,21951.36
670,Microsoft,Ultrabook,13.5,99519.048
671,Lenovo,Notebook,15.6,43580.376
672,Lenovo,2 in 1 Convertible,13.3,55091.52
673,Lenovo,Notebook,35.6,18594.72
674,HP,2 in 1 Convertible,14,37242.72
675,MSI,Gaming,15.6,68944.32
676,Asus,Ultrabook,14,60472.8
677,HP,2 in 1 Convertible,11.6,26373.6
678,LG,Ultrabook,15.6,122490.72
679,Acer,Gaming,15.6,69210.72
680,MSI,Gaming,15.6,53168.112
681,Asus,Notebook,15.6,22324.32
682,Dell,Gaming,15.6,109277.28
683,HP,Notebook,17.3,37242.72
684,Lenovo,2 in 1 Convertible,13.3,79866.72
685,Dell,Gaming,15.6,149916.6
